district_number,district_name,county,county_code,is_charter,first_year,last_year,brb_id,has_boundary,former_names,aliases
001902,CAYUGA ISD,Anderson,001,False,2009,2025,577,True,,
001903,ELKHART ISD,Anderson,001,False,2009,2025,1035,True,,
001904,FRANKSTON ISD,Anderson,001,False,2009,2025,1206,True,,
001906,NECHES ISD,Anderson,001,False,2009,2025,2610,True,,
001907,PALESTINE ISD,Anderson,001,False,2009,2025,2819,True,,
001908,WESTWOOD ISD,Anderson,001,False,2009,2025,3865,True,,
001909,SLOCUM ISD,Anderson,001,False,2009,2025,3353,True,,
002901,ANDREWS ISD,Andrews,002,False,2009,2025,85,True,,
003801,PINEYWOODS COMMUNITY ACADEMY,Angelina,003,True,2009,2025,,False,,
003902,HUDSON ISD,Angelina,003,False,2009,2025,1804,True,,
003903,LUFKIN ISD,Angelina,003,False,2009,2025,2252,True,,
003904,HUNTINGTON ISD,Angelina,003,False,2009,2025,1820,True,,
003905,DIBOLL ISD,Angelina,003,False,2009,2025,912,True,,
003906,ZAVALLA ISD,Angelina,003,False,2009,2025,3997,True,,
003907,CENTRAL ISD,Angelina,003,False,2009,2025,595,True,,
004901,ROCKPORT-FULTON ISD,Aransas,004,False,2009,2025,110,True,ARANSAS COUNTY ISD,Aransas County ISD
005901,ARCHER CITY ISD,Archer,005,False,2009,2025,114,True,,
005902,HOLLIDAY ISD,Archer,005,False,2009,2025,1765,True,,
005904,WINDTHORST ISD,Archer,005,False,2009,2025,3937,True,,
006902,CLAUDE ISD,Armstrong,006,False,2009,2025,647,True,,
007901,CHARLOTTE ISD,Atascosa,007,False,2009,2025,610,True,,
007902,JOURDANTON ISD,Atascosa,007,False,2009,2025,1931,True,,
007904,LYTLE ISD,Atascosa,007,False,2009,2025,2262,True,,
007905,PLEASANTON ISD,Atascosa,007,False,2009,2025,2921,True,,
007906,POTEET ISD,Atascosa,007,False,2009,2025,2949,True,,
008901,BELLVILLE ISD,Austin,008,False,2009,2025,265,True,,
008902,SEALY ISD,Austin,008,False,2009,2025,3301,True,,
008903,BRAZOS ISD,Austin,008,False,2009,2025,368,True,,
009901,MULESHOE ISD,Bailey,009,False,2009,2025,2555,True,,
010901,MEDINA ISD,Bandera,010,False,2009,2025,2395,True,,
010902,BANDERA ISD,Bandera,010,False,2009,2025,212,True,,
011901,BASTROP ISD,Bastrop,011,False,2009,2025,226,True,,
011902,ELGIN ISD,Bastrop,011,False,2009,2025,1033,True,,
011904,SMITHVILLE ISD,Bastrop,011,False,2009,2025,3360,True,,
011905,MCDADE ISD,Bastrop,011,False,2009,2025,2372,True,,
012901,SEYMOUR ISD,Baylor,012,False,2009,2025,3312,True,,
013801,ST MARY'S ACADEMY CHARTER SCHOOL,Bee,013,True,2009,2025,,False,,
013901,BEEVILLE ISD,Bee,013,False,2009,2025,249,True,,
013902,PAWNEE ISD,Bee,013,False,2009,2025,2862,True,,
013903,PETTUS ISD,Bee,013,False,2009,2025,2891,True,,
013905,SKIDMORE-TYNAN ISD,Bee,013,False,2009,2025,3349,True,,
014801,RICHARD MILBURN ALTER HIGH SCHOOL (KILLE,Bell,014,True,2009,2025,,False,RICHARD MILBURN ALTER HIGH SCHOOL,
014802,TRANSFORMATIVE CHARTER ACADEMY,Bell,014,True,2009,2014,,False,,
014803,PRIORITY CHARTER SCHOOLS,Bell,014,True,2009,2025,,False,TEMPLE EDUCATION CENTER,
014804,ORENDA CHARTER SCHOOL,Bell,014,True,2009,2025,,False,,
014901,ACADEMY ISD,Bell,014,False,2009,2025,31,True,,
014902,BARTLETT ISD,Bell,014,False,2009,2025,221,True,,
014903,BELTON ISD,Bell,014,False,2009,2025,267,True,,
014905,HOLLAND ISD,Bell,014,False,2009,2025,1763,True,,
014906,KILLEEN ISD,Bell,014,False,2009,2025,1993,True,,
014907,ROGERS ISD,Bell,014,False,2009,2025,3128,True,,
014908,SALADO ISD,Bell,014,False,2009,2025,3219,True,,
014909,TEMPLE ISD,Bell,014,False,2009,2025,3544,True,,
014910,TROY ISD,Bell,014,False,2009,2025,3661,True,,
015801,POR VIDA ACADEMY,Bexar,015,True,2009,2025,,False,,
015802,GEORGE GERVIN ACADEMY,Bexar,015,True,2009,2025,,False,,
015803,HIGGS CARTER KING GIFTED & TALENTE,Bexar,015,True,2009,2014,,False,,
015805,NEW FRONTIERS PUBLIC SCHOOLS INC,Bexar,015,True,2009,2025,,False,NEW FRONTIERS CHARTER SCHOOL,
015806,LEGACY TRADITIONAL SCHOOLS - TEXAS,Bexar,015,True,2009,2025,,False,SCHOOL OF EXCELLENCE IN EDUCATION,
015807,SOUTHWEST PREPARATORY SCHOOL,Bexar,015,True,2009,2025,,False,,
015808,INSPIRE ACADEMIES,Bexar,015,True,2009,2025,,False,JOHN H WOOD JR PUBLIC CHARTER DIST,
015809,BEXAR COUNTY ACADEMY,Bexar,015,True,2009,2024,,False,,
015811,LA ESCUELA DE LAS AMERICAS,Bexar,015,True,2009,2010,,False,,
015812,GEORGE I SANCHEZ CHARTER HS SAN AN,Bexar,015,True,2009,2011,,False,,
015813,GUARDIAN ANGEL PERFORMANCE ARTS AC,Bexar,015,True,2009,2010,,False,,
015814,POSITIVE SOLUTIONS CHARTER SCHOOL,Bexar,015,True,2009,2025,,False,,
015815,HERITAGE ACADEMY,Bexar,015,True,2009,2025,,False,RADIANCE ACADEMY OF LEARNING,
015816,ACADEMY OF CAREERS AND TECHNOLOGIE,Bexar,015,True,2009,2015,,False,,
015817,SAN ANTONIO CAN HIGH SCHOOL,Bexar,015,True,2009,2013,,False,,
015819,SHEKINAH RADIANCE ACADEMY,Bexar,015,True,2009,2016,,False,,
015820,SAN ANTONIO SCHOOL FOR INQUIRY & C,Bexar,015,True,2009,2016,,False,,
015822,JUBILEE ACADEMIES,Bexar,015,True,2009,2025,,False,JUBILEE ACADEMIC CENTER,
015823,SAN ANTONIO TECHNOLOGY ACADEMY,Bexar,015,True,2009,2014,,False,SAN ANTONIO TECHNOLOGY  ACADEMY,
015824,SAN ANTONIO PREPARATORY ACADEMY,Bexar,015,True,2009,2011,,False,,
015825,LIGHTHOUSE PUBLIC SCHOOLS,Bexar,015,True,2009,2025,,False,LIGHTHOUSE CHARTER SCHOOL,
015826,KIPP SAN ANTONIO,Bexar,015,True,2009,2018,,False,KIPP ASPIRE ACADEMY,
015827,SCHOOL OF SCIENCE AND TECHNOLOGY,Bexar,015,True,2009,2025,,False,,
015828,HARMONY PUBLIC SCHOOLS - SOUTH TEXAS,Bexar,015,True,2009,2025,,False,HARMONY SCIENCE ACAD (SAN ANTONIO),
015830,SOMERSET ACADEMIES OF TEXAS,Bexar,015,True,2009,2025,,False,BROOKS ACADEMY OF SCIENCE AND ENGI | BROOKS ACADEMIES OF TEXAS,
015831,SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVE,Bexar,015,True,2009,2025,,False,SCHOOL OF SCIENCE AND TECHNOLOGY D,
015832,CITY CENTER HEALTH CAREERS,Bexar,015,True,2010,2014,,False,,
015833,HENRY FORD ACADEMY ALAMEDA SCHOOL FOR AR,Bexar,015,True,2010,2025,,False,HENRY FORD ACADEMY ALAMEDA SCHOOL,
015834,BASIS TEXAS,Bexar,015,True,2014,2025,,False,BASIS SAN ANTONIO,
015835,GREAT HEARTS TEXAS,Bexar,015,True,2015,2025,,False,,
015836,ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY,Bexar,015,True,2014,2025,,False,ELEANOR KOLITZ HEBREW LANGUAGE ACA,
015837,CARPE DIEM SCHOOLS,Bexar,015,True,2016,2017,,False,,
015838,COMPASS ROSE PUBLIC SCHOOLS,Bexar,015,True,2018,2025,,False,COMPASS ROSE ACADEMY,
015839,PROMESA ACADEMY CHARTER SCHOOL,Bexar,015,True,2021,2025,,False,,
015840,SAN ANTONIO STEAM ACADEMY,Bexar,015,True,2021,2024,,False,SAN ANTONIO PREPARATORY SCHOOLS,
015841,THE GATHERING PLACE,Bexar,015,True,2021,2025,,False,,
015842,ROYAL PUBLIC SCHOOLS,Bexar,015,True,2022,2025,,False,,
015843,PRELUDE PREPARATORY CHARTER SCHOOL,Bexar,015,True,2022,2025,,False,,
015844,ESSENCE PREPARATORY CHARTER SCHOOL,Bexar,015,True,2023,2025,,False,,
015845,CELEBRATE DYSLEXIA SCHOOLS,,015,True,2025,2025,,False,,
015901,ALAMO HEIGHTS ISD,Bexar,015,False,2009,2025,42,True,,
015904,HARLANDALE ISD,Bexar,015,False,2009,2025,1475,True,,
015905,EDGEWOOD ISD,Bexar,015,False,2009,2025,1006,True,,Edgewood ISDa
015906,RANDOLPH FIELD ISD,Bexar,015,False,2009,2025,4912,True,,
015907,SAN ANTONIO ISD,Bexar,015,False,2009,2025,3227,True,,
015908,SOUTH SAN ANTONIO ISD,Bexar,015,False,2009,2025,3387,True,,
015909,SOMERSET ISD,Bexar,015,False,2009,2025,3370,True,,
015910,NORTH EAST ISD,Bexar,015,False,2009,2025,2664,True,,
015911,EAST CENTRAL ISD,Bexar,015,False,2009,2025,982,True,,
015912,SOUTHWEST ISD,Bexar,015,False,2009,2025,3403,True,,
015913,LACKLAND ISD,Bexar,015,False,2009,2025,,True,,
015914,FT SAM HOUSTON ISD,Bexar,015,False,2009,2025,,True,,
015915,NORTHSIDE ISD,Bexar,015,False,2009,2025,2687,True,,Northside ISDa
015916,JUDSON ISD,Bexar,015,False,2009,2025,1932,True,,
015917,SOUTHSIDE ISD,Bexar,015,False,2009,2025,3401,True,,
016901,JOHNSON CITY ISD,Blanco,016,False,2009,2025,1919,True,,
016902,BLANCO ISD,Blanco,016,False,2009,2025,302,True,,
017901,BORDEN COUNTY ISD,Borden,017,False,2009,2025,335,True,,
018901,CLIFTON ISD,Bosque,018,False,2009,2025,660,True,,
018902,MERIDIAN ISD,Bosque,018,False,2009,2025,2413,True,,
018903,MORGAN ISD,Bosque,018,False,2009,2025,2528,True,,
018904,VALLEY MILLS ISD,Bosque,018,False,2009,2025,3719,True,,
018905,WALNUT SPRINGS ISD,Bosque,018,False,2009,2025,3782,True,,
018906,IREDELL ISD,Bosque,018,False,2009,2025,1859,True,,
018907,KOPPERL ISD,Bosque,018,False,2009,2025,2016,True,,
018908,CRANFILLS GAP ISD,Bosque,018,False,2009,2025,770,True,,
019901,DEKALB ISD,Bowie,019,False,2009,2025,859,True,,
019902,HOOKS ISD,Bowie,019,False,2009,2025,1776,True,,
019903,MAUD ISD,Bowie,019,False,2009,2025,2358,True,,
019905,NEW BOSTON ISD,Bowie,019,False,2009,2025,2619,True,,
019906,REDWATER ISD,Bowie,019,False,2009,2025,3056,True,,
019907,TEXARKANA ISD,Bowie,019,False,2009,2025,3558,True,,
019908,LIBERTY-EYLAU ISD,Bowie,019,False,2009,2025,2170,True,,
019909,SIMMS ISD,Bowie,019,False,2009,2025,3343,True,,
019910,MALTA ISD,Bowie,019,False,2009,2025,2318,True,,
019911,RED LICK ISD,Bowie,019,False,2009,2025,3050,True,,
019912,PLEASANT GROVE ISD,Bowie,019,False,2009,2025,2918,True,,
019913,HUBBARD ISD,Bowie,019,False,2009,2025,,True,,
019914,LEARY ISD,Bowie,019,False,2009,2025,,True,,
020901,ALVIN ISD,Brazoria,020,False,2009,2025,66,True,,
020902,ANGLETON ISD,Brazoria,020,False,2009,2025,90,True,,
020904,DANBURY ISD,Brazoria,020,False,2009,2025,844,True,,
020905,BRAZOSPORT ISD,Brazoria,020,False,2009,2025,369,True,,
020906,SWEENY ISD,Brazoria,020,False,2009,2025,3488,True,,
020907,COLUMBIA-BRAZORIA ISD,Brazoria,020,False,2009,2025,701,True,,
020908,PEARLAND ISD,Brazoria,020,False,2009,2025,2865,True,,
020910,DAMON ISD,Brazoria,020,False,2009,2025,842,True,,
021803,BRAZOS SCHOOL FOR INQUIRY & CREATIVITY,Brazos,021,True,2009,2025,,False,BRAZOS SCHOOL FOR INQUIRY & CREATI,
021804,HARMONY SCIENCE ACAD (COLLEGE STAT,Brazos,021,True,2009,2010,,False,,
021805,ARROW ACADEMY,Brazos,021,True,2012,2025,,False,,
021901,COLLEGE STATION ISD,Brazos,021,False,2009,2025,683,True,,
021902,BRYAN ISD,Brazos,021,False,2009,2025,415,True,,
022004,TERLINGUA CSD,Brewster,022,False,2009,2025,,True,,
022901,ALPINE ISD,Brewster,022,False,2009,2025,58,True,,
022902,MARATHON ISD,Brewster,022,False,2009,2025,,True,,
022903,SAN VICENTE ISD,Brewster,022,False,2009,2025,,True,,
023902,SILVERTON ISD,Briscoe,023,False,2009,2025,3342,True,,
024801,ENCINO SCHOOL,Brooks,024,True,2009,2010,,False,,
024901,BROOKS COUNTY ISD,Brooks,024,False,2009,2025,395,True,,
025901,BANGS ISD,Brown,025,False,2009,2025,214,True,,
025902,BROWNWOOD ISD,Brown,025,False,2009,2025,409,True,,
025904,BLANKET ISD,Brown,025,False,2009,2025,306,True,,
025905,MAY ISD,Brown,025,False,2009,2025,2361,True,,
025906,ZEPHYR ISD,Brown,025,False,2009,2025,3998,True,,
025908,BROOKESMITH ISD,Brown,025,False,2009,2025,393,True,,
025909,EARLY ISD,Brown,025,False,2009,2025,979,True,,
026901,CALDWELL ISD,Burleson,026,False,2009,2025,524,True,,
026902,SOMERVILLE ISD,Burleson,026,False,2009,2025,3373,True,,
026903,SNOOK ISD,Burleson,026,False,2009,2025,3364,True,,
027903,BURNET CISD,Burnet,027,False,2009,2025,441,True,,
027904,MARBLE FALLS ISD,Burnet,027,False,2009,2025,2326,True,,
028902,LOCKHART ISD,Caldwell,028,False,2009,2025,2207,True,,
028903,LULING ISD,Caldwell,028,False,2009,2025,2254,True,,
028906,PRAIRIE LEA ISD,Caldwell,028,False,2009,2025,,True,,
029901,CALHOUN COUNTY ISD,Calhoun,029,False,2009,2025,525,True,,Calhoun Co ISD
030901,CROSS PLAINS ISD,Callahan,030,False,2009,2025,784,True,,
030902,CLYDE CISD,Callahan,030,False,2009,2025,665,True,,
030903,BAIRD ISD,Callahan,030,False,2009,2025,200,True,,
030906,EULA ISD,Callahan,030,False,2009,2025,1053,True,,
031803,HARMONY SCIENCE ACADEMY - BROWNSVI,Cameron,031,True,2009,2014,,False,,
031901,BROWNSVILLE ISD,Cameron,031,False,2009,2025,406,True,,
031903,HARLINGEN CISD,Cameron,031,False,2009,2025,1479,True,,
031905,LA FERIA ISD,Cameron,031,False,2009,2025,2066,True,,
031906,LOS FRESNOS CISD,Cameron,031,False,2009,2025,2231,True,,
031909,POINT ISABEL ISD,Cameron,031,False,2009,2025,2928,True,,
031911,RIO HONDO ISD,Cameron,031,False,2009,2025,3092,True,,
031912,SAN BENITO CISD,Cameron,031,False,2009,2025,3234,True,,
031913,SANTA MARIA ISD,Cameron,031,False,2009,2025,3275,True,,
031914,SANTA ROSA ISD,Cameron,031,False,2009,2025,3279,True,,
031916,SOUTH TEXAS ISD,Cameron,031,False,2009,2025,4615,False,,
032902,PITTSBURG ISD,Camp,032,False,2009,2025,2908,True,,
033901,GROOM ISD,Carson,033,False,2009,2025,1394,True,,
033902,PANHANDLE ISD,Carson,033,False,2009,2025,2834,True,,
033904,WHITE DEER ISD,Carson,033,False,2009,2025,3876,True,,
034901,ATLANTA ISD,Cass,034,False,2009,2025,133,True,,
034902,AVINGER ISD,Cass,034,False,2009,2025,,True,,
034903,HUGHES SPRINGS ISD,Cass,034,False,2009,2025,1810,True,,
034905,LINDEN-KILDARE CISD,Cass,034,False,2009,2025,2178,True,,
034906,MCLEOD ISD,Cass,034,False,2009,2025,2383,True,,
034907,QUEEN CITY ISD,Cass,034,False,2009,2025,2986,True,,
034909,BLOOMBURG ISD,Cass,034,False,2009,2025,309,True,,
035901,DIMMITT ISD,Castro,035,False,2009,2025,922,True,,
035902,HART ISD,Castro,035,False,2009,2025,1681,True,,
035903,NAZARETH ISD,Castro,035,False,2009,2025,2609,True,,
036901,ANAHUAC ISD,Chambers,036,False,2009,2025,77,True,,
036902,BARBERS HILL ISD,Chambers,036,False,2009,2025,216,True,,
036903,EAST CHAMBERS ISD,Chambers,036,False,2009,2025,983,True,,
037901,ALTO ISD,Cherokee,037,False,2009,2025,60,True,,
037904,JACKSONVILLE ISD,Cherokee,037,False,2009,2025,1894,True,,
037907,RUSK ISD,Cherokee,037,False,2009,2025,3167,True,,
037908,NEW SUMMERFIELD ISD,Cherokee,037,False,2009,2025,2634,True,,
037909,WELLS ISD,Cherokee,037,False,2009,2025,3811,True,,
038901,CHILDRESS ISD,Childress,038,False,2009,2025,620,True,,
039901,BYERS ISD,Clay,039,False,2009,2012,451,False,,
039902,HENRIETTA ISD,Clay,039,False,2009,2025,1723,True,,
039903,PETROLIA CISD,Clay,039,False,2009,2025,2889,True,PETROLIA ISD,Petrolia ISD
039904,BELLEVUE ISD,Clay,039,False,2009,2025,259,True,,
039905,MIDWAY ISD,Clay,039,False,2009,2025,2437,True,,Midway ISDa
040901,MORTON ISD,Cochran,040,False,2009,2025,,True,,
040902,WHITEFACE CISD,Cochran,040,False,2009,2025,3883,True,,
041901,BRONTE ISD,Coke,041,False,2009,2025,390,True,,
041902,ROBERT LEE ISD,Coke,041,False,2009,2025,3105,True,,
042901,COLEMAN ISD,Coleman,042,False,2009,2025,681,True,,
042903,SANTA ANNA ISD,Coleman,042,False,2009,2025,3269,True,,
042905,PANTHER CREEK CISD,Coleman,042,False,2009,2025,2840,True,,
042906,NOVICE ISD,Coleman,042,False,2009,2012,,False,,
043801,IMAGINE INTERNATIONAL ACADEMY OF NORTH T,Collin,043,True,2013,2025,,False,IMAGINE INTERNATIONAL ACADEMY OF N,
043802,IMAGINE LONE STAR INTERNATIONAL ACADEMY,Collin,043,True,2018,2025,,False,LONE STAR LANGUAGE ACADEMY,
043901,ALLEN ISD,Collin,043,False,2009,2025,54,True,,
043902,ANNA ISD,Collin,043,False,2009,2025,94,True,,
043903,CELINA ISD,Collin,043,False,2009,2025,584,True,,
043904,FARMERSVILLE ISD,Collin,043,False,2009,2025,1101,True,,
043905,FRISCO ISD,Collin,043,False,2009,2025,1221,True,,
043907,MCKINNEY ISD,Collin,043,False,2009,2025,2376,True,,
043908,MELISSA ISD,Collin,043,False,2009,2025,2400,True,,
043910,PLANO ISD,Collin,043,False,2009,2025,2915,True,,
043911,PRINCETON ISD,Collin,043,False,2009,2025,2970,True,,
043912,PROSPER ISD,Collin,043,False,2009,2025,2976,True,,
043914,WYLIE ISD,Collin,043,False,2009,2025,3976,True,,Wylie ISDa
043917,BLUE RIDGE ISD,Collin,043,False,2009,2025,316,True,,
043918,COMMUNITY ISD,Collin,043,False,2009,2025,717,True,,
043919,LOVEJOY ISD,Collin,043,False,2009,2025,2236,True,,
044902,WELLINGTON ISD,Collingsworth,044,False,2009,2025,3807,True,,
044904,SAMNORWOOD ISD,Collingsworth,044,False,2009,2012,,False,,
045902,COLUMBUS ISD,Colorado,045,False,2009,2025,703,True,,
045903,RICE CISD,Colorado,045,False,2009,2025,3071,True,,
045905,WEIMAR ISD,Colorado,045,False,2009,2025,3802,True,,
046802,TRINITY CHARTER SCHOOL,Comal,046,True,2009,2025,,False,,
046901,NEW BRAUNFELS ISD,Comal,046,False,2009,2025,2621,True,,
046902,COMAL ISD,Comal,046,False,2009,2025,707,True,,
047901,COMANCHE ISD,Comanche,047,False,2009,2025,711,True,,
047902,DE LEON ISD,Comanche,047,False,2009,2025,856,True,,
047903,GUSTINE ISD,Comanche,047,False,2009,2025,1408,True,,
047905,SIDNEY ISD,Comanche,047,False,2009,2025,3335,True,,
048901,EDEN CISD,Concho,048,False,2009,2025,1003,True,,
048903,PAINT ROCK ISD,Concho,048,False,2009,2025,2815,True,,
049901,GAINESVILLE ISD,Cooke,049,False,2009,2025,1267,True,,
049902,MUENSTER ISD,Cooke,049,False,2009,2025,2552,True,,
049903,VALLEY VIEW ISD,Cooke,049,False,2009,2025,3721,True,,Valley View ISDa
