SURVYEAR	FIPS	STABR	STNAME	R1A	R1B	R1C	R1D	R1E	R1F	R1G	R1H	R1I	R1J	R1K	R1L	R1M	R1N	STR1	R2	R3	R4A	R4B	R4C	R4D	STR4	R5	TR	E11	E12	E13	E14	E15	E16	E17	E18	STE1	E11A	E11B	E11C	E11D	E2	E212	E213	E214	E215	E216	E217	E218	TE21	E222	E223	E224	E225	E226	E227	E228	TE22	E232	E233	E234	E235	E236	E237	E238	TE23	E242	E243	E244	E245	E246	E247	E248	TE24	E252	E253	E254	E255	E256	E257	E258	TE25	E262	E263	E264	E265	E266	E267	E268	TE26	STE22	STE23	STE24	STE25	STE26	STE27	STE28	STE2T	E3A11	E3A12	E3A13	E3A14	E3A2	E3A16	E3A1	E3B11	E3B12	E3B13	E3B14	E3B2	E3B16	E3B1	STE3	E4A1	E4A2	E4B1	E4B2	E4C1	E4C2	E4D	E4E1	E4E2	STE4	TE5	E61	E62	E63	STE6	E7A1	E7A2	STE7	E81	E82	E9A	E9B	E9C	E9D	E91	STE9	TE10	TE11	X12C	X12D	TX12	NCE13	ADA	A14A	A14B	PPE15	MEMBR23	CE1	CE2	AR1	AR1A	AR1B	AR2	AR2A	AR3	AR6	AR6A	AR7	AR8	AE1	AE1A	AE1B	AE1C	AE1D	AE1E	AE1F	AE1G	AE2	AE2A	AE2B	AE2C	AE2D	AE2E	AE2F	AE2G	AE3	AE4	AE4A	AE4B	AE4C	AE4D	AE4E	AE4F	AE4G	AE5	AE6	AE7	AE8	IR1A	IR1B	IR1C	IR1D	IR1E	IR1F	IR1G	IR1H	IR1I	IR1J	IR1K	IR1L	IR1M	IR1N	ISTR1	IR2	IR3	IR4A	IR4B	IR4C	IR4D	ISTR4	IR5	ITR	IE11	IE12	IE13	IE14	IE15	IE16	IE17	IE18	ISTE1	IE11A	IE11B	IE11C	IE11D	IE2	IE212	IE213	IE214	IE215	IE216	IE217	IE218	ITE21	IE222	IE223	IE224	IE225	IE226	IE227	IE228	ITE22	IE232	IE233	IE234	IE235	IE236	IE237	IE238	ITE23	IE242	IE243	IE244	IE245	IE246	IE247	IE248	ITE24	IE252	IE253	IE254	IE255	IE256	IE257	IE258	ITE25	IE262	IE263	IE264	IE265	IE266	IE267	IE268	ITE26	ISTE22	ISTE23	ISTE24	ISTE25	ISTE26	ISTE27	ISTE28	ISTE2T	IE3A11	IE3A12	IE3A13	IE3A14	IE3A2	IE3A16	IE3A1	IE3B11	IE3B12	IE3B13	IE3B14	IE3B2	IE3B16	IE3B1	ISTE3	IE4A1	IE4A2	IE4B1	IE4B2	IE4C1	IE4C2	IE4D	IE4E1	IE4E2	ISTE4	ITE5	IE61	IE62	IE63	ISTE6	IE7A1	IE7A2	ISTE7	IE81	IE82	IE9A	IE9B	IE9C	IE9D	IE91	ISTE9	ITE10	ITE11	IX12C	IX12D	ITX12	INCE13	IADA	IA14A	IA14B	IPPE15	IMEMBR23	ICE1	ICE2	IAR1	IAR1A	IAR1B	IAR2	IAR2A	IAR3	IAR6	IAR6A	IAR7	IAR8	IAE1	IAE1A	IAE1B	IAE1C	IAE1D	IAE1E	IAE1F	IAE1G	IAE2	IAE2A	IAE2B	IAE2C	IAE2D	IAE2E	IAE2F	IAE2G	IAE3	IAE4	IAE4A	IAE4B	IAE4C	IAE4D	IAE4E	IAE4F	IAE4G	IAE5	IAE6	IAE7	IAE8
2024	01	AL	Alabama	-2	-2	1980960683	1035924306	9851144	568254	0	725	198427247	82240948	255482495	459908793	496943	0	4023292559	12583002	6845423951	16126958	2100766976	536359	33984286	2151414579	541921081	13032714091	3462887942	1212639010	337123354	4974000	1033128	528346275	20724895	38755581	5584726162	2346642169	321266314	148783206	66053171	48406394	427500543	265574856	141870799	415160436	229367823	228322325	110868924	1818665706	138988584	81874897	34924814	139915022	96714402	117718545	37394130	647530394	124349040	91726333	38379074	13606615	363391243	67879505	78025231	777357041	123536614	24450484	4836061	11335545	383128124	61685762	24103948	633076538	15469502	5318552	670295	524618	44184134	78448684	1428483	146044268	13044563	10061245	92496429	2423199	1570626	176153	8678505	128450720	827419344	473687815	312507177	582440817	1074172218	475782290	259070738	4005080399	187008428	98305726	18782850	334798970	15512932	773650	639669624	0	0	0	0	0	0	0	639669624	0	0	0	0	0	0	0	0	0	0	10229476185	1151146626	167387813	5949713	1324484152	181685137	287155795	468840932	20071454	0	5164926	136418168	0	0	342176	141583094	355961797	11898239156	271393720	28077327	647542577	9581933608	679221	-2	679221	14107	748650	8146145809	1902500622	0	665399	960716025	0	0	-2	0	-2	-2	-2	644658525	0	689167	643969352	0	0	0	-2	351104603	0	102115	351002487	0	0	0	-2	293146399	197058658	0	0	197058658	0	0	0	-2	119628745	905983	40545297	407523	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2024	02	AK	Alaska	-2	-2	359716969	220242507	439087	0	0	0	24989967	8416837	26956339	43396275	0	0	684157981	0	1585483351	61704439	333432342	9503313	203488453	608128547	0	2877769879	789212111	411802887	102569525	3225932	0	96774762	5708087	6278534	1409863751	-1	-1	-1	-1	-1	114341188	61674939	17581030	97495263	78642701	9224820	50144550	429104491	62700210	32073517	9394473	54555100	52395647	6910424	29950948	247980319	30505741	183645226	8905395	3574617	89410852	70282826	37585213	423909870	5789182	12901280	1034526	2033563	111104269	2278946	5383620	140525386	119956	750596	86466	362322	54376288	3287744	1447540	60430912	400063	598148	1455423	367845	721299	175042	2108485	5826305	213736384	290893110	38370847	158026388	332274768	88872058	125172816	1247346371	22635524	14054856	12003828	39354979	990418	134810	88183997	1551713	1147580	3520195	4980534	101082	12267	11212289	99396286	0	0	0	0	0	0	0	0	0	0	2756606408	128238886	52484951	2121412	182845249	15627258	70933725	86560983	7613868	114183	0	1120336	0	0	13144	1120336	121964189	3015543687	92698021	0	128510284	2628096124	119231	119231	-2	22042	131243	2371624034	384889877	0	3393036	104269217	0	73698	0	0	6990	-2	-2	94735424	0	3189931	91440866	0	73698	23939	6990	71518522	0	2869063	68552601	0	72919	23939	0	22021206	12892494	0	169065	12723429	0	0	0	0	-1	-1	3027041	1195696	R	R	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2024	04	AZ	Arizona	4040523593	1129306	-2	71944113	14881601	95837417	496297	62749	163608414	105953014	161206132	448789283	1247954	21575	5009801282	6653011	8874549981	116950376	2299259550	83476256	292881699	2792567881	1075601675	16683572155	4610525244	1344777361	541994375	100974927	8309791	385109034	278366770	44679428	7028060369	2935209313	491205234	142732986	159026627	156479199	731694585	449016760	108024859	492677043	432964135	242827353	265048350	2722253085	216393564	131232455	44444027	141870607	150070079	83023405	103819676	870853813	228844973	122094890	82992179	45427685	637019872	124857532	273862052	1515099183	31812586	33972796	4013238	20407643	340660012	67579647	61583220	560029142	6404740	30875513	6977213	3459734	141635208	99550487	41851982	330754877	20847223	4083756	5953278	7646777	3390894	3598845	27047552	72568325	1229592931	740400657	245427581	708029755	1564104992	521886782	731360850	5740803548	155349372	49054447	136240481	236903188	25861764	2720663	580268151	10458523	3254865	1008067	1956838	415059	301779	16980072	597248223	0	0	0	0	0	0	0	0	0	0	13366112140	1265502094	162088458	60724494	1488315046	437891704	748924300	1186816004	6069143	0	0	13985412	1337116	192655530	5418614	207978058	863630036	15709291471	306451568	0	590258141	12775853999	974298	974298	-2	13113	1096820	11075960686	2025954595	0	29122885	860476303	4473170	-2	-2	0	44737649	-2	-2	608760925	-2	-2	-2	-2	-2	-2	-2	355917631	-2	-2	-2	-2	-2	-2	-2	246513461	201189413	-2	-2	-2	-2	-2	-2	-2	16546808	44561789	41661332	6090937	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	R	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	R	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	R	R	A	R	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2024	05	AR	Arkansas	2442906256	2849366	-2	20697271	15669485	1066618	80816	146598	99933727	50421370	88885081	85976500	5402	56031	2807481305	3241270	3592783553	36273160	1083418963	0	20559207	1140251330	440787107	7543757458	2415459623	748209785	156144404	18192720	6972809	278344529	29614287	21401045	3637752106	1457163027	236806969	99337257	219354453	45091078	235623030	273743063	95169580	240868059	182994273	117756500	95478367	1241632872	71236821	79312307	29306000	74236492	62595978	37109625	30058780	383856003	64756045	117264698	31052721	4495945	377527628	34184630	60757862	690039529	9247199	66612075	6050971	5005804	194269306	48630705	24789415	354605475	1447225	20430477	864085	382189	33492096	41601059	9193800	107410931	777516	3564795	16243643	816222	2660808	665821	7358334	32087139	381640611	540496938	177822915	325422522	820047993	238347281	218442758	2702221018	82872331	28565161	97030114	146639748	11766247	1194206	356301560	10800	2466	46929	3660144	2350	105382	3825721	360127281	0	0	0	0	0	0	0	0	0	0	6700100405	713483427	93136924	11058857	817679208	151631368	202252623	353883991	25971767	849398	0	12856189	620559	0	70321	13476748	253909315	7706941662	177955496	0	333073681	6367026724	441276	-2	441276	14429	484978	5494249212	696985194	0	17277292	271209232	0	-2	-2	0	0	-2	-2	223334841	0	5976114	172510605	0	-2	-2	-2	69381890	0	622959	64313513	0	-2	-2	-2	98279525	116943900	0	11473013	100731768	0	-2	-2	-2	30355364	6998695	21631103	4597791	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	R	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	R	R	R	R	R	R	R	R	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	A	R	R	R	R	T	R	R	R	R	R	R	R	T	R	R	R	R	A	R	R	A	R	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2024	06	CA	California	36501423045	1819579149	-2	-2	2304926	576211063	10520691	0	4338888484	62731123	672273171	6138691185	0	0	49546411774	0	81518552905	1092035433	14947033293	11681469	364338803	16415088998	11731421954	147480053677	39080092245	18136227029	6304731536	1656489188	751729603	3942279408	226708547	28755965	69148575371	25736067883	4895518747	643652088	956657884	588822171	5527897614	4459213414	518167568	4900971240	4105567041	890268240	2816786618	23218871735	2586781922	2056074244	250193037	2285010383	2230893442	485903181	1483938563	11378794772	1149575906	1458119894	1270379262	569207094	1955008908	918998081	1471084882	8792374027	94732335	278602696	20838888	123570583	2960400635	189717805	331144336	3999007278	6289776	38393618	936214	14355356	243909399	268818999	173473612	746176974	958056	6426279	20285527	9375206	505830	259150	16753603	54563651	9359945833	8258436527	2079864282	7888134506	11252375856	2485146457	6119708002	47443611463	1351399751	717357945	177076445	2001959944	131906325	933696	4248727781	132251117	61755391	37993208	20229679	4342372	191761	252421156	4501148937	0	0	0	0	0	0	0	0	0	0	121093335771	12608487774	429023866	572068888	13609580528	4043186659	4934189234	8977375893	914877150	1811917	0	768339273	0	0	3283716	768339273	2115322605	137500362573	1562548111	519228541	2829606563	118263729208	5516444	5516444	-2	21438	5837338	107741620893	13351714878	-1	241791129	5907803900	8862	8775981	-1	0	-1	-2	-2	4977355961	-1	145308058	4823102347	25843	8919713	-1	-1	2749787733	-1	97021252	2646460889	15144	6290448	0	-1	2210242273	1173460149	1377927	98845982	1072879380	0	148293	208567	-1	-1	-1	341807684	16307021	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	A	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	R	R	R	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2024	08	CO	Colorado	7708004507	45378744	-2	-2	95758871	8728128	6051641	155753	357374932	26273935	211551643	733473476	12283900	1640887	9197792536	41706715	6392279190	122831076	1270192149	0	24383317	1417406542	684464199	17049184983	4908443466	1533331169	336209508	107630778	13636260	411069217	53982118	39368465	7336052603	3349271293	657092574	192873525	208585023	63430259	674165307	467910900	100325190	711463522	434960690	202231233	400577262	2991634104	198842199	132019547	31187749	205845065	149448628	69487706	131986657	918817551	123782097	129147461	86622951	48521897	435043227	92965117	476843770	1392926520	33435224	59488246	8738089	32220298	267550150	42599380	91182494	535213881	3203419	7775194	11732679	6523725	48521268	32313002	37717582	147786869	5139155	5174366	6084307	5974854	1954647	235151	29016938	53579418	1035363982	793740520	232958286	1004025636	1288957342	407518587	1129607121	5892171474	159997361	55466214	46119780	215814843	8991707	1202900	478601098	48125849	15830661	6599709	5027266	4058181	425259	76008744	554609842	0	0	0	0	0	0	0	0	0	0	13782833919	1478933747	392355119	114463207	1985752073	675489757	818385315	1493875072	84844186	265426	0	32761066	0	0	4319	32761066	721906946	16101279864	168694443	475526	522730846	13260103073	777570	-2	777570	17053	865661	12700999605	918282814	0	12068499	422961762	1181364	4599116	-2	77166	7929951	-2	-2	373845219	0	6678313	339733571	151183	2486424	59603	6319527	170664647	0	2136166	161618824	66740	1028729	57192	1318879	196451295	64542277	0	3775734	59472718	253353	69091	0	911460	30822885	1382842	8285724	6635966	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2024	09	CT	Connecticut	-2	-2	7971018569	-2	10392836	434848641	40300	26830582	2226937	92102968	0	35804157	0	177929	8111763696	0	5111623679	53402963	1093924649	0	22092385	1169419997	967293844	14392807372	4672415266	2405993039	332520297	412600369	432797116	141671163	68815519	8346355	7973546489	2810608217	626867031	56851770	346597426	18307189	651333581	237808323	142738573	484764174	380416185	26850387	172720347	2096631570	332050467	128724402	88565314	240978820	214802030	15650564	106933488	1127705085	93130500	90199646	74097327	25630471	345906094	659633934	115289792	1403887764	12000695	36050742	5136850	10931659	195794309	15782023	12314602	288010880	3669519	38109249	6417663	5341418	41787601	8412130	16139836	119877416	1929839	2233694	7707071	2462966	5175780	249546	9762975	29521871	1090445082	495016807	318245135	764768090	1142094398	718166454	417021204	4945757170	87659276	57403197	36828946	132183912	7588308	5109580	319184911	62920458	20769032	16174175	6418196	2322685	2263837	108545698	427730609	0	0	0	0	0	0	27947223	0	0	0	13347034268	701309932	103767484	39212587	844290003	138003899	295863664	433867563	72273254	894517	29008793	47018439	0	0	0	76027232	342478516	14539123202	119757965	39716821	262188819	13084845449	482295	-2	482295	27130	512652	10610836415	1086395678	1914104	90717030	399367923	199571	1391710	-2	-2	152308515	-2	-2	470888482	0	17247351	384285986	-2	1334850	-2	54608155	-2	-2	-2	-2	-2	-2	-2	-2	-2	63386078	0	12987818	49746856	-2	-2	-2	419236	0	-2	-2	34262752	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	I	R	A	A	A	R	R	A	R	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	R	R	R	R	R	R	R	R	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	A	R	R	R	R	T	R	R	R	R	R	R	R	T	R	R	R	R	A	R	R	A	R	T	R	A	A	A	R	R	R	R	I	I	R	R	R	R	R	R	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2024	10	DE	Delaware	832830640	-2	-2	-2	4353988	101345645	0	429215	36041927	21024810	3246174	44234120	0	329450	942061109	0	1860631493	10349725	336780170	0	123119	347253014	108308404	3149945616	969992924	545714735	75734297	20842066	102274912	40921660	15963971	0	1653205682	519620479	414597074	35775371	-1	4609250	183351984	56645294	13464332	86224894	93188251	36299222	35372939	504546916	99826044	28249691	7765786	50533362	51025788	6330116	20444740	264175527	75026706	28566177	7378417	791854	171433463	116323231	36177080	435696928	3256733	2218211	0	4103794	66917686	6697893	7074170	90268487	271530	2542428	37716	220232	2735773	885386	10177843	16870908	0	5080951	0	0	0	0	1346524	6427475	361461467	120760324	28608535	141653904	382565188	165650462	100415453	1301115333	38927874	8218959	3413297	48456961	3053193	0	99017091	0	0	0	18158	0	23887	42045	99059136	0	0	0	0	0	0	0	0	0	0	3053380151	199549855	0	9750285	209300140	23733280	59555359	83288639	0	0	0	13634434	0	0	0	13634434	45638357	3312202797	31338075	27884620	88177117	2965203034	133468	-2	133468	22217	141842	2750137102	303240637	25644701	0	120834178	0	0	0	0	0	-2	-2	113185359	0	18065397	92835466	0	0	0	0	47300365	0	4880310	41684390	0	0	0	0	65521154	105128132	0	3065183	12730045	0	0	0	0	17395547	5282403	35927230	363840	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2024	11	DC	District of Columbia	-2	-2	902697309	1956654320	575105	0	956365	0	30413346	1721783	8511782	74467178	0	68982	2976066170	0	-2	27079162	386677663	0	1134403	414891228	16111426	3390957398	1054981220	222014328	50649757	53782774	0	37034696	8436004	41855305	1460318080	664425412	188077282	12221260	31424241	6097493	205011315	105516349	43339991	174106916	83781308	82466571	76579689	770802139	39612442	11928748	6475970	29186028	19052362	21769498	15939853	143964901	51163563	69610939	50650532	3660154	107476661	10387267	51413082	344362198	2954029	8036801	5979536	1428442	11427898	16694326	2671632	49192664	2594962	4382312	1018017	952546	980067	820509	19787432	30535845	1974466	140963	35669928	3137909	18221491	4814901	23794002	87753660	300715815	195233800	142115957	211519449	239959720	136132563	170398258	1396075562	5744653	1129691	58908718	5294934	664468	18597256	89675252	63944	7231	243933	63748	0	0	378856	90054108	0	0	0	0	0	0	0	0	0	0	2946447750	324203029	16986107	17702638	358891774	172041028	128361890	300402918	0	0	0	35194569	0	0	251131	35194569	74576193	3380421541	45787218	8892861	66514096	2879933654	81423	-2	81423	35370	92402	2250035021	414775059	0	1658652	174787323	14794784	0	-2	-2	1178341	-2	-2	188615160	0	1454602	176980189	-2	-2	12082	1178341	43120320	0	220872	40640432	-2	-2	12082	239857	140337008	2082731	0	0	63371	-2	-2	-2	0	19505149	241900	1968146	37971	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	A	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2024	12	FL	Florida	19164552909	2029471786	-2	-2	1444209	0	9871434	6506534	995031460	133137567	357785018	1801177390	840807	0	24493312580	0	16459364332	258117805	6465835853	60995352	94759628	6879708638	1823324828	47832385550	12063738928	4383732017	5984707842	0	0	992135498	243092156	207793236	23632107521	6362686796	2431633642	269393207	477186426	248297479	1294920461	1486676266	139616066	1442075842	1314044067	688834694	505758398	6871925794	479686048	520326851	59259843	516345223	567157265	293230196	184513369	2620518795	197091000	301160803	49747638	25342055	1277959816	215859921	277140329	2344301562	26797111	195065953	3057215	19098658	1061175606	169599807	26931995	1501726345	20797230	26173118	4630327	20679510	46734909	14244141	10555575	143814810	25106884	39456381	198382589	5798851	324085018	17474160	32126691	642430574	2023601504	2542686254	450063351	2008660629	4544421772	1384998778	1026470782	13980903070	492835526	238435646	173924663	850026321	42204693	42769227	1797991383	0	0	0	0	0	0	0	1797991383	0	0	0	0	0	0	0	0	0	0	39411001974	4267063646	330628276	623011284	5220703206	852940135	1195835654	2048775789	487652949	5532848	0	403392918	0	0	0	403392918	1388284067	45957395554	944118839	111928517	1559126391	37851875583	2984781	2984781	-2	12682	2872335	32766016638	6644985335	273495	252683894	2323265210	-2	-2	-2	-2	-2	-2	-2	2403063046	273495	239654557	2100285048	-2	-2	-2	-2	1509912119	268083	161810244	1325128098	-2	-2	-2	-2	887274850	198126411	0	11812455	181122739	-2	-2	-2	-2	243635600	91440679	214184669	5876076	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	R	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	R	R	R	R	R	R	R	R	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
